Precision,Trials,Simulation Type,Average PI Value,Absolute Error,Average Time (s),25th Percentile (s),Median Time (s),75th Percentile (s)
16,268435456,Monte Carlo Single-thread with Uniform Sampling,3.1415794938802719,1.3159709521326839 * 10^-5,6.5714015361999998,6.5709531539999997,6.5718360369999997,6.5720448210000004
16,268435456,Monte Carlo Multi-thread using Pthread with Uniform Sampling,3.1416104316711426,1.7778081349339663 * 10^-5,0.5335686904000000,0.5248215680000000,0.5282480370000000,0.5301684230000000
16,268435456,Monte Carlo Multi-thread using OpenMP with Uniform Sampling,3.1416002720594406,7.6184696473743312 * 10^-6,0.5375048150000000,0.5270144100000000,0.5278462070000000,0.5313054040000000
16,268435456,Monte Carlo Multi-thread using Pthread with Stratified Sampling by x-Coordinate,3.1415656834840775,2.6970105715784847 * 10^-5,0.5651950240000001,0.5284714069999999,0.5588112570000000,0.5927700970000001
16,268435456,Monte Carlo Multi-thread using OpenMP with Stratified Sampling by x-Coordinate,3.1416285425424576,3.5888952664342102 * 10^-5,0.5341459744000001,0.5252004930000000,0.5265375450000001,0.5272985000000000
16,268435456,Monte Carlo Multi-thread using Pthread with Grid-based Stratified Sampling,3.1415752440690994,1.7409520693812193 * 10^-5,0.5320351658000000,0.5241524540000000,0.5245718830000000,0.5299527840000000
16,268435456,Monte Carlo Multi-thread using OpenMP with Grid-based Stratified Sampling,3.1415647685527802,2.7885037013087093 * 10^-5,0.5346714735999999,0.5274747520000000,0.5311022960000000,0.5400322730000000
16,16777216,CUDA Uniform,3.1412770748138428,3.1557877595034256 * 10^-4,0.0009329640000000,0.0009238820000000,0.0009280720000000,0.0009297520000000
16,16777216,CUDA Stratified X,3.1382489204406738,3.3437331491192879 * 10^-3,0.0443904808000000,0.0443824230000000,0.0443896820000000,0.0443935330000000
16,16777216,CUDA Grid Stratified,3.1414852142333984,1.0743935639467850 * 10^-4,0.0444752218000000,0.0444503430000000,0.0444859740000000,0.0444976040000000
16,67108864,CUDA Uniform,3.1415899395942688,2.7139955243171698 * 10^-6,0.0032210836000000,0.0032060210000000,0.0032075510000000,0.0032079920000000
16,67108864,CUDA Stratified X,3.1411050558090210,4.8759778077211990 * 10^-4,0.0447595316000000,0.0447223580000000,0.0447347370000000,0.0447718370000000
16,67108864,CUDA Grid Stratified,3.1418780088424683,2.8535525267514572 * 10^-4,0.0447369234000000,0.0447285880000000,0.0447332770000000,0.0447477880000000
16,268435456,CUDA Uniform,3.1415012627840042,9.1390805788904572 * 10^-5,0.0123060328000000,0.0122999180000000,0.0123005580000000,0.0123063990000000
16,268435456,CUDA Stratified X,3.1411899030208588,4.0275056893435135 * 10^-4,0.0457873648000000,0.0457587200000000,0.0457642310000000,0.0457866110000000
16,268435456,CUDA Grid Stratified,3.1417369395494461,1.4428595965298996 * 10^-4,0.0458188528000000,0.0457941410000000,0.0458142310000000,0.0458451810000000
